taxableinc,federaltax,hsiblings,hfathereduc,hmothereduc,siblings,lfp,hours,kidsl6,kids618,age,educ,wage,wage76,hhours,hage,heduc,hwage,faminc,mtr,mothereduc,fathereduc,unemployment,bigcity,exper
19237.0,2867.0,2.0,7.0,7.0,3.0,1.0,1900.0,0.0,3.0,30.0,12.0,2.0,2.23,2690.0,32.0,12.0,5.2528,17930.0,0.7215,12.0,7.0,5.0,0.0,6.0
11080.0,1253.0,6.0,3.0,7.0,8.0,1.0,576.0,0.0,2.0,34.0,12.0,3.4722,3.84,3096.0,33.0,12.0,1.3075,7000.0,0.7815,12.0,7.0,3.0,0.0,4.0
16500.0,2300.0,5.0,7.0,14.0,2.0,1.0,2056.0,0.0,2.0,48.0,16.0,2.0161,0.0,2552.0,53.0,16.0,2.7998,25300.0,0.7215,14.0,16.0,5.0,1.0,10.0
10700.0,1196.0,8.0,7.0,7.0,7.0,1.0,1984.0,0.0,0.0,45.0,12.0,4.5716,4.82,2040.0,47.0,11.0,2.6961,16212.0,0.7215,10.0,10.0,11.0,0.0,22.0
17500.0,2510.0,4.0,7.0,7.0,3.0,1.0,2640.0,0.0,0.0,51.0,12.0,2.2727,0.0,2180.0,50.0,13.0,7.5688,22650.0,0.6615,7.0,7.0,3.0,0.0,16.0
9560.0,973.0,5.0,3.0,3.0,1.0,1.0,240.0,0.0,2.0,30.0,12.0,2.6375,0.0,1864.0,37.0,12.0,3.4077,6985.0,0.7815,12.0,7.0,14.0,0.0,6.0
14574.0,1919.0,7.0,3.0,9.0,4.0,1.0,1173.0,0.0,1.0,46.0,12.0,2.2899,2.5,2068.0,46.0,12.0,6.5401,30000.0,0.6915,7.0,7.0,11.0,1.0,12.0
25000.0,4192.0,8.0,7.0,12.0,2.0,1.0,3640.0,0.0,0.0,58.0,12.0,1.0989,0.0,2010.0,58.0,12.0,7.2139,18500.0,0.6915,7.0,3.0,9.5,1.0,32.0
13000.0,1642.0,1.0,7.0,3.0,2.0,1.0,340.0,0.0,8.0,37.0,12.0,1.1765,0.0,2152.0,40.0,10.0,6.2732,16658.0,0.7515,12.0,7.0,5.0,0.0,15.0
20200.0,3077.0,2.0,7.0,7.0,5.0,1.0,500.0,0.0,0.0,52.0,8.0,1.6,0.0,1496.0,54.0,11.0,5.8824,10300.0,0.7515,7.0,7.0,5.0,1.0,17.0
18965.0,2804.0,2.0,7.0,7.0,0.0,1.0,1599.0,0.0,0.0,52.0,10.0,1.8762,2.8,2100.0,47.0,4.0,3.8095,11000.0,0.7515,7.0,3.0,7.5,0.0,34.0
40000.0,8660.0,3.0,12.0,14.0,2.0,1.0,1830.0,0.0,0.0,31.0,16.0,4.0437,4.2,1960.0,35.0,14.0,6.3776,19900.0,0.6915,12.0,12.0,7.5,1.0,9.0
10040.0,1063.0,3.0,3.0,10.0,5.0,1.0,1920.0,0.0,0.0,55.0,14.0,9.6354,8.75,1985.0,55.0,15.0,6.0453,32500.0,0.64,7.0,7.0,14.0,1.0,37.0
13000.0,1642.0,1.0,3.0,7.0,7.0,1.0,2052.0,0.0,0.0,34.0,17.0,8.0409,8.25,2020.0,33.0,17.0,8.8119,37300.0,0.58,17.0,17.0,7.5,1.0,10.0
35000.0,7019.0,5.0,3.0,7.0,1.0,1.0,2312.0,0.0,0.0,55.0,14.0,4.599,5.58,2178.0,56.0,16.0,8.8765,30018.0,0.5815,17.0,7.0,11.0,1.0,35.0
32000.0,6112.0,6.0,3.0,3.0,8.0,1.0,196.0,0.0,2.0,39.0,12.0,2.1429,2.5,3684.0,39.0,12.0,3.342,12807.0,0.7515,12.0,7.0,14.0,1.0,6.0
16950.0,2384.0,4.0,7.0,9.0,4.0,1.0,2500.0,0.0,3.0,40.0,14.0,4.4,5.5,5010.0,42.0,13.0,3.1836,39500.0,0.5515,14.0,3.0,7.5,0.0,19.0
15500.0,2104.0,1.0,12.0,12.0,2.0,1.0,1980.0,0.0,4.0,43.0,12.0,3.5354,3.75,1880.0,47.0,12.0,6.9149,22050.0,0.6915,12.0,12.0,9.5,1.0,10.0
20000.0,2818.0,1.0,14.0,14.0,0.0,1.0,1840.0,0.0,0.0,48.0,8.0,2.7174,4.8,1904.0,56.0,8.0,5.5147,15500.0,0.7215,7.0,7.0,14.0,1.0,11.0
30020.0,5517.0,1.0,12.0,12.0,4.0,1.0,320.0,0.0,0.0,47.0,12.0,6.25,6.25,2083.0,47.0,12.0,5.2808,13810.0,0.7215,7.0,7.0,9.5,1.0,15.0
29000.0,4979.0,8.0,7.0,7.0,0.0,1.0,419.0,0.0,4.0,41.0,12.0,11.933,6.3,2125.0,44.0,12.0,3.2,11950.0,0.7515,7.0,7.0,5.0,1.0,12.0
8072.0,679.0,7.0,7.0,9.0,8.0,1.0,1880.0,0.0,0.0,36.0,8.0,3.5931,3.75,1985.0,37.0,12.0,5.8791,19175.0,0.6915,12.0,12.0,7.5,0.0,12.0
28600.0,5141.0,1.0,12.0,12.0,0.0,1.0,72.0,0.0,2.0,46.0,17.0,6.9444,0.0,2640.0,48.0,17.0,6.25,17900.0,0.6915,12.0,16.0,7.5,0.0,14.0
15000.0,2011.0,7.0,7.0,12.0,6.0,1.0,120.0,0.0,0.0,34.0,12.0,2.9167,0.0,2070.0,51.0,8.0,7.4879,15850.0,0.7215,12.0,7.0,5.0,1.0,11.0
13000.0,1642.0,8.0,16.0,12.0,2.0,1.0,1885.0,0.0,3.0,41.0,12.0,3.0769,2.9,2107.0,48.0,8.0,6.9767,27017.0,0.6915,7.0,7.0,5.0,1.0,9.0
8600.0,793.0,8.0,7.0,3.0,8.0,1.0,240.0,0.0,1.0,51.0,12.0,3.75,0.0,2250.0,54.0,10.0,8.0,18900.0,0.6915,12.0,7.0,5.0,0.0,24.0
5000.0,174.0,2.0,7.0,7.0,6.0,1.0,1729.0,0.0,0.0,33.0,12.0,5.7259,4.76,2880.0,34.0,16.0,4.1319,21800.0,0.6915,12.0,12.0,7.5,1.0,12.0
20400.0,2617.0,8.0,7.0,3.0,2.0,1.0,1850.0,0.0,0.0,52.0,12.0,3.6757,3.4,1848.0,53.0,12.0,14.476,33552.0,0.5515,10.0,10.0,7.5,1.0,13.0
17200.0,2447.0,4.0,7.0,7.0,3.0,1.0,2033.0,0.0,0.0,58.0,9.0,5.1648,4.32,1927.0,53.0,7.0,5.7343,22650.0,0.6615,7.0,9.0,7.5,1.0,29.0
10550.0,1158.0,8.0,3.0,3.0,6.0,1.0,608.0,2.0,4.0,34.0,10.0,8.2237,3.0,1304.0,38.0,9.0,3.3742,15200.0,0.7915,0.0,0.0,7.5,1.0,11.0
16000.0,2196.0,3.0,7.0,7.0,1.0,1.0,1153.0,0.0,1.0,31.0,12.0,4.3365,4.52,3000.0,35.0,12.0,1.8333,13120.0,0.7215,7.0,10.0,7.5,1.0,13.0
15200.0,2048.0,2.0,7.0,3.0,2.0,1.0,2208.0,0.0,1.0,48.0,12.0,4.9819,5.31,1892.0,52.0,12.0,5.6025,21660.0,0.6615,12.0,14.0,5.0,1.0,19.0
7700.0,622.0,3.0,14.0,12.0,6.0,1.0,252.0,0.0,2.0,32.0,12.0,0.3571,0.0,3644.0,32.0,12.0,4.2975,18190.0,0.7215,7.0,7.0,3.0,0.0,2.0
5500.0,250.0,6.0,3.0,9.0,6.0,1.0,337.0,0.0,0.0,49.0,17.0,2.9674,0.0,1430.0,47.0,17.0,3.9161,9600.0,0.7515,3.0,3.0,14.0,1.0,24.0
11500.0,1353.0,1.0,7.0,10.0,3.0,1.0,90.0,2.0,2.0,32.0,15.0,1.0,0.0,2350.0,31.0,14.0,4.8787,13755.0,0.7515,10.0,12.0,7.5,1.0,9.0
18800.0,2783.0,1.0,14.0,12.0,2.0,1.0,1174.0,0.0,0.0,58.0,12.0,2.5554,4.87,1948.0,59.0,16.0,9.2402,35350.0,0.6615,7.0,12.0,7.5,1.0,6.0
57000.0,15190.0,2.0,7.0,12.0,0.0,1.0,372.0,0.0,0.0,50.0,6.0,0.8602,2.25,1804.0,42.0,12.0,6.6519,12405.0,0.7215,12.0,7.0,7.5,1.0,22.0
31100.0,5840.0,2.0,7.0,3.0,8.0,1.0,30.0,0.0,0.0,60.0,14.0,1.0,0.0,2326.0,51.0,12.0,4.6217,12180.0,0.7515,12.0,17.0,9.5,0.0,30.0
8900.0,850.0,8.0,7.0,7.0,5.0,1.0,1800.0,0.0,1.0,50.0,12.0,2.9261,0.0,1739.0,55.0,11.0,9.9741,22962.0,0.6615,7.0,3.0,7.5,1.0,10.0
14000.0,1631.0,5.0,10.0,10.0,3.0,1.0,282.0,0.0,0.0,56.0,14.0,3.5461,2.5,1176.0,57.0,17.0,20.918,25700.0,0.6215,7.0,7.0,9.5,1.0,6.0
22200.0,3533.0,1.0,7.0,12.0,1.0,1.0,720.0,0.0,0.0,51.0,9.0,1.6264,2.2,1100.0,55.0,8.0,1.94,3305.0,0.7915,7.0,7.0,3.0,0.0,29.0
18822.0,2783.0,6.0,0.0,7.0,5.0,1.0,1440.0,0.0,1.0,54.0,17.0,8.3333,6.0,1528.0,58.0,17.0,8.8351,32950.0,0.5815,7.0,12.0,5.0,1.0,29.0
16476.0,2279.0,7.0,7.0,3.0,3.0,1.0,2100.0,0.0,0.0,59.0,13.0,3.0952,2.95,2250.0,52.0,15.0,4.6667,17000.0,0.6915,7.0,7.0,5.0,1.0,36.0
22300.0,3557.0,4.0,10.0,7.0,2.0,1.0,1000.0,0.0,2.0,46.0,9.0,2.7,2.35,1927.0,47.0,10.0,5.1894,13250.0,0.7515,7.0,7.0,5.0,1.0,19.0
14000.0,1796.0,2.0,7.0,3.0,3.0,1.0,952.0,0.0,1.0,46.0,15.0,5.2521,0.0,2414.0,47.0,16.0,18.724,50750.0,0.4415,7.0,12.0,5.0,1.0,8.0
18500.0,2720.0,3.0,7.0,7.0,6.0,1.0,1413.0,1.0,3.0,39.0,12.0,1.4154,2.2,768.0,49.0,8.0,10.417,15632.0,0.7715,10.0,10.0,14.0,0.0,13.0
15300.0,2067.0,5.0,7.0,12.0,3.0,1.0,2100.0,0.0,2.0,44.0,12.0,4.7986,4.85,1984.0,43.0,14.0,8.8458,28316.0,0.6215,7.0,0.0,11.0,1.0,16.0
24137.0,3980.0,5.0,7.0,10.0,7.0,1.0,120.0,2.0,0.0,33.0,12.0,1.6667,2.37,2246.0,36.0,12.0,7.569,17290.0,0.7215,12.0,12.0,9.5,1.0,11.0
55600.0,14602.0,5.0,7.0,12.0,2.0,1.0,3000.0,1.0,2.0,33.0,12.0,1.1217,0.0,3024.0,30.0,17.0,4.4507,33600.0,0.6215,10.0,10.0,7.5,1.0,15.0
22000.0,3246.0,2.0,12.0,12.0,2.0,1.0,1000.0,0.0,2.0,48.0,12.0,0.5,0.0,2921.0,52.0,12.0,9.3204,29200.0,0.6215,12.0,7.0,9.0,1.0,6.0
5000.0,32.0,2.0,7.0,7.0,5.0,1.0,336.0,0.0,4.0,31.0,12.0,0.7143,0.0,2045.0,37.0,17.0,9.1687,19870.0,0.6915,7.0,7.0,11.0,0.0,13.0
10300.0,948.0,5.0,3.0,7.0,2.0,1.0,1216.0,0.0,1.0,45.0,12.0,2.7961,2.9,1928.0,44.0,12.0,6.4834,16225.0,0.7215,7.0,7.0,11.0,0.0,22.0
8000.0,509.0,6.0,3.0,7.0,4.0,1.0,988.0,0.0,1.0,45.0,12.0,4.8583,4.5,1920.0,44.0,10.0,7.8125,28600.0,0.6915,7.0,3.0,5.0,1.0,24.0
25000.0,3952.0,2.0,12.0,12.0,8.0,1.0,2581.0,0.0,2.0,32.0,13.0,1.7435,2.6,2280.0,37.0,17.0,11.404,30800.0,0.5815,14.0,12.0,7.5,1.0,2.0
22000.0,3246.0,0.0,7.0,7.0,3.0,1.0,2030.0,0.0,0.0,47.0,12.0,2.4631,2.8,2300.0,47.0,17.0,5.087,25700.0,0.6915,7.0,7.0,3.0,0.0,6.0
15189.0,1640.0,2.0,7.0,7.0,8.0,1.0,413.0,0.0,2.0,34.0,13.0,2.4213,3.0,2480.0,35.0,13.0,6.9758,27000.0,0.6215,12.0,12.0,3.0,0.0,2.0
19500.0,2713.0,3.0,7.0,14.0,7.0,1.0,782.0,0.0,1.0,37.0,12.0,1.5345,2.3,1135.0,34.0,10.0,5.2863,12077.0,0.7715,12.0,7.0,9.5,1.0,2.0
63500.0,17515.0,0.0,12.0,16.0,3.0,1.0,1388.0,0.0,1.0,36.0,12.0,2.8818,1.87,1384.0,39.0,12.0,11.562,29612.0,0.6615,7.0,7.0,11.0,0.0,14.0
14600.0,1742.0,1.0,7.0,7.0,0.0,1.0,1450.0,1.0,2.0,47.0,12.0,2.4069,3.0,1848.0,50.0,14.0,8.6061,24479.0,0.6915,7.0,10.0,9.5,1.0,9.0
31500.0,5381.0,3.0,7.0,12.0,0.0,1.0,1720.0,0.0,1.0,48.0,16.0,5.2326,4.68,2499.0,46.0,17.0,12.805,79750.0,0.4415,14.0,14.0,7.5,1.0,11.0
22000.0,3246.0,5.0,7.0,9.0,4.0,1.0,800.0,0.0,2.0,42.0,12.0,3.75,2.5,2390.0,43.0,12.0,6.6946,20050.0,0.6915,12.0,7.0,11.0,0.0,9.0
20930.0,3007.0,1.0,9.0,12.0,1.0,1.0,360.0,0.0,3.0,33.0,13.0,1.3889,0.0,2400.0,44.0,14.0,8.3333,21500.0,0.6915,10.0,12.0,11.0,1.0,6.0
14000.0,1631.0,1.0,7.0,12.0,4.0,1.0,2000.0,0.0,0.0,46.0,11.0,4.0,4.61,1920.0,53.0,8.0,4.1667,16120.0,0.6915,7.0,7.0,5.0,0.0,19.0
15000.0,1816.0,3.0,12.0,12.0,1.0,1.0,1176.0,0.0,3.0,47.0,12.0,3.2313,3.35,2301.0,48.0,13.0,5.4759,24686.0,0.7215,7.0,7.0,9.5,0.0,26.0
12300.0,1317.0,6.0,7.0,7.0,8.0,1.0,2058.0,0.0,1.0,44.0,12.0,3.4014,3.8,1944.0,43.0,10.0,5.144,24669.0,0.6915,7.0,10.0,9.5,1.0,19.0
9290.0,571.0,2.0,7.0,12.0,1.0,1.0,900.0,0.0,4.0,36.0,12.0,1.3333,2.2,2100.0,37.0,17.0,11.667,26400.0,0.6615,7.0,7.0,7.5,1.0,3.0
32000.0,5812.0,0.0,12.0,12.0,3.0,1.0,215.0,2.0,0.0,31.0,17.0,9.3023,9.98,1920.0,32.0,16.0,7.2917,16245.0,0.7215,12.0,12.0,7.5,1.0,7.0
15150.0,1465.0,0.0,10.0,12.0,8.0,1.0,2000.0,0.0,0.0,55.0,14.0,4.5,4.37,2880.0,55.0,14.0,4.8611,23300.0,0.6615,7.0,7.0,9.5,1.0,28.0
28235.0,4764.0,7.0,10.0,7.0,0.0,1.0,757.0,0.0,1.0,45.0,16.0,4.6235,4.5,1932.0,48.0,16.0,12.164,27200.0,0.6215,12.0,7.0,9.5,1.0,13.0
21000.0,3028.0,6.0,7.0,7.0,5.0,1.0,1264.0,0.0,0.0,47.0,17.0,3.9557,0.0,3234.0,48.0,17.0,10.823,51000.0,0.4615,10.0,17.0,9.5,1.0,9.0
20800.0,4680.0,4.0,7.0,7.0,3.0,1.0,2064.0,0.0,3.0,46.0,12.0,5.814,6.0,2805.0,47.0,12.0,12.478,55000.0,0.4615,10.0,7.0,14.0,1.0,15.0
20220.0,2860.0,2.0,7.0,7.0,7.0,1.0,1280.0,0.0,0.0,49.0,11.0,0.5,0.0,2272.0,52.0,9.0,6.162,15389.0,0.7215,7.0,7.0,7.5,1.0,20.0
16240.0,2038.0,3.0,10.0,7.0,2.0,1.0,1715.0,0.0,0.0,49.0,12.0,4.0816,3.75,2227.0,52.0,14.0,7.1846,23150.0,0.6615,7.0,7.0,9.5,1.0,29.0
29513.0,5113.0,8.0,10.0,10.0,0.0,1.0,2000.0,0.0,2.0,45.0,12.0,6.0,4.95,1720.0,49.0,6.0,7.093,29774.0,0.6215,7.0,10.0,14.0,1.0,9.0
2620.0,0.0,2.0,7.0,7.0,3.0,1.0,12.0,1.0,3.0,38.0,17.0,3.6667,0.0,2300.0,38.0,13.0,17.826,91044.0,0.4415,12.0,10.0,14.0,1.0,1.0
9600.0,810.0,6.0,7.0,7.0,2.0,1.0,1528.0,0.0,0.0,47.0,10.0,3.8613,2.95,3410.0,50.0,12.0,6.393,28200.0,0.5815,7.0,12.0,14.0,1.0,8.0
17000.0,2188.0,3.0,7.0,9.0,8.0,1.0,561.0,0.0,3.0,54.0,13.0,2.7629,2.53,2304.0,57.0,16.0,11.719,36150.0,0.5515,7.0,7.0,9.5,1.0,19.0
22000.0,2833.0,5.0,7.0,9.0,2.0,1.0,2058.0,0.0,0.0,41.0,11.0,2.931,2.9,1984.0,42.0,12.0,4.7883,15652.0,0.7215,12.0,12.0,7.5,0.0,23.0
16500.0,2093.0,1.0,7.0,12.0,4.0,1.0,1823.0,0.0,2.0,43.0,12.0,4.3884,4.2,1890.0,33.0,14.0,4.2328,18900.0,0.7515,14.0,7.0,11.0,0.0,3.0
15600.0,1927.0,8.0,7.0,7.0,8.0,1.0,1680.0,1.0,1.0,31.0,16.0,5.4167,4.7,1970.0,32.0,12.0,7.1066,23600.0,0.6615,12.0,10.0,7.5,0.0,13.0
21000.0,3028.0,5.0,7.0,7.0,1.0,1.0,1440.0,0.0,0.0,47.0,17.0,9.8611,7.1,2400.0,46.0,12.0,8.3333,36200.0,0.61,7.0,7.0,7.5,1.0,8.0
20000.0,2818.0,1.0,16.0,12.0,1.0,1.0,4950.0,0.0,2.0,35.0,12.0,0.1616,2.75,2504.0,37.0,12.0,6.9888,18700.0,0.6915,10.0,10.0,7.5,0.0,17.0
16500.0,2093.0,0.0,12.0,12.0,4.0,1.0,1176.0,0.0,3.0,45.0,16.0,0.3826,3.75,2398.0,48.0,17.0,9.5913,24125.0,0.6615,7.0,7.0,11.0,1.0,4.0
28900.0,4682.0,1.0,10.0,16.0,1.0,1.0,1100.0,1.0,0.0,33.0,12.0,3.6364,3.58,1960.0,39.0,12.0,6.0204,15800.0,0.7215,7.0,7.0,7.5,0.0,15.0
